"clip_binding_psi_data_filter_class_test_pre"	"is_constitute"	"AUH_intron_down"	"CPSF6_intron_down"	"CSTF2T_intron_down"	"DDX3X_intron_down"	"DDX42_intron_down"	"DGCR8_intron_down"	"EIF4G2_intron_down"	"FAM120A_intron_down"	"FMR1_intron_down"	"FXR1_intron_down"	"FXR2_intron_down"	"GNL3_intron_down"	"GTF2F1_intron_down"	"HNRNPA1_intron_down"	"HNRNPK_intron_down"	"HNRNPM_intron_down"	"HNRNPU_intron_down"	"HNRNPUL1_intron_down"	"IGF2BP1_intron_down"	"IGF2BP2_intron_down"	"ILF3_intron_down"	"KHDRBS1_intron_down"	"KHSRP_intron_down"	"LARP7_intron_down"	"LIN28B_intron_down"	"LSM11_intron_down"	"NONO_intron_down"	"NPM1_intron_down"	"PRPF8_intron_down"	"PTBP1_intron_down"	"RBM22_intron_down"	"RBM27_intron_down"	"SAFB2_intron_down"	"SBDS_intron_down"	"SLBP_intron_down"	"SLTM_intron_down"	"SMNDC1_intron_down"	"SND1_intron_down"	"SRSF1_intron_down"	"TAF15_intron_down"	"TARDBP_intron_down"	"TNRC6A_intron_down"	"TRA2A_intron_down"	"TROVE2_intron_down"	"U2AF1_intron_down"	"U2AF2_intron_down"	"XRN2_intron_down"	"YWHAG_intron_down"	"AUH_intron_up"	"CPSF6_intron_up"	"CSTF2T_intron_up"	"DDX3X_intron_up"	"DDX42_intron_up"	"DGCR8_intron_up"	"EIF4G2_intron_up"	"FAM120A_intron_up"	"FMR1_intron_up"	"FXR1_intron_up"	"FXR2_intron_up"	"GNL3_intron_up"	"GTF2F1_intron_up"	"HNRNPA1_intron_up"	"HNRNPK_intron_up"	"HNRNPM_intron_up"	"HNRNPU_intron_up"	"HNRNPUL1_intron_up"	"IGF2BP1_intron_up"	"IGF2BP2_intron_up"	"ILF3_intron_up"	"KHDRBS1_intron_up"	"KHSRP_intron_up"	"LARP7_intron_up"	"LIN28B_intron_up"	"LSM11_intron_up"	"NONO_intron_up"	"NPM1_intron_up"	"PRPF8_intron_up"	"PTBP1_intron_up"	"RBM22_intron_up"	"RBM27_intron_up"	"SAFB2_intron_up"	"SBDS_intron_up"	"SLBP_intron_up"	"SLTM_intron_up"	"SMNDC1_intron_up"	"SND1_intron_up"	"SRSF1_intron_up"	"TAF15_intron_up"	"TARDBP_intron_up"	"TNRC6A_intron_up"	"TRA2A_intron_up"	"TROVE2_intron_up"	"U2AF1_intron_up"	"U2AF2_intron_up"	"XRN2_intron_up"	"YWHAG_intron_up"	"AUH_exon"	"CPSF6_exon"	"CSTF2T_exon"	"DDX3X_exon"	"DDX42_exon"	"DGCR8_exon"	"EIF4G2_exon"	"FAM120A_exon"	"FMR1_exon"	"FXR1_exon"	"FXR2_exon"	"GNL3_exon"	"GTF2F1_exon"	"HNRNPA1_exon"	"HNRNPK_exon"	"HNRNPM_exon"	"HNRNPU_exon"	"HNRNPUL1_exon"	"IGF2BP1_exon"	"IGF2BP2_exon"	"ILF3_exon"	"KHDRBS1_exon"	"KHSRP_exon"	"LARP7_exon"	"LIN28B_exon"	"LSM11_exon"	"NONO_exon"	"NPM1_exon"	"PRPF8_exon"	"PTBP1_exon"	"RBM22_exon"	"RBM27_exon"	"SAFB2_exon"	"SBDS_exon"	"SLBP_exon"	"SLTM_exon"	"SMNDC1_exon"	"SND1_exon"	"SRSF1_exon"	"TAF15_exon"	"TARDBP_exon"	"TNRC6A_exon"	"TRA2A_exon"	"TROVE2_exon"	"U2AF1_exon"	"U2AF2_exon"	"XRN2_exon"	"YWHAG_exon"
2.22044604925031e-16	FALSE	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	0	4	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
2.22044604925031e-16	FALSE	0	0	0	3	0	1	0	0	1	3	2	1	3	3	5	1	1	1	0	2	1	3	6	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	3	4	4	0	0	0	0	2	1	0	1	1	0	1	0	1	0	1	1	2	3	1	0	0	2	1	0	0	0	1	0	2	0	4	1	3	0	0	0	0	0	3	0	1	0	4	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
2.22044604925031e-16	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2.22044604925031e-16	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1	TRUE	0	0	1	0	0	1	1	0	1	0	2	1	0	4	0	2	0	0	0	0	1	0	4	0	6	4	2	0	2	3	2	0	1	0	0	3	3	0	3	0	2	0	1	1	4	2	1	0	0	1	0	0	2	1	0	0	0	1	0	0	0	4	0	3	0	2	0	0	2	1	4	0	0	1	2	0	3	0	3	0	0	0	0	4	2	1	2	0	0	1	2	6	3	5	4	0	0	3	0	0	0	0	0	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	4	1	0	0	1	2	0	0	0	0	0	0	3	0	1	0	2	0	3	0	1	2	0	0
1	TRUE	0	4	3	5	0	0	0	2	3	0	0	1	4	1	0	6	0	0	0	0	0	1	0	0	0	0	4	0	1	0	0	0	1	0	0	2	1	1	0	0	0	0	1	0	0	0	3	0	2	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	1	0	0	1	0	6	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	1	0	0	0	2	1	0	0	0	0	1	0	1	0	0	2	0
1	TRUE	0	0	1	9	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	2	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2.22044604925031e-16	FALSE	0	0	1	2	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	2	0	0	1	3	5	4	1	1	3	3	2	1	2	1	6	1	0	2	2	1	2	2	0	2	1	0	2	1	1	1	5	1	0	0	1	1	0	2	3	0	2	0	1	0	1	1	2	0	2	0	0	0	2	0	0	0	0	2	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1
2.22044604925031e-16	FALSE	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	1	0	1	14	0	0	2	1	0	3	0	0	0	1	0	0	2	0	1	0	0	0	0	0	1	4	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0
2.22044604925031e-16	FALSE	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	4	2	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.22044604925031e-16	FALSE	0	2	0	1	0	0	1	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	2	0	0	1	0	0	1	0	1	3	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	2	2	2	1	2	0	0	0	1	2	0	1	1	0	0	0	1	0	0	2	0	0	0	2	1	0	1	0	0	0	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
2.22044604925031e-16	FALSE	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	1	2	1	2	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	3	0	0	2	0	2	1	1	10	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
1	TRUE	3	0	7	4	0	2	1	3	2	1	2	2	3	0	3	20	1	1	0	4	0	3	3	1	1	0	20	0	0	1	0	3	1	0	4	0	1	0	1	0	5	0	0	0	1	2	2	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	5	2	2	1	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	1	0	0	0	1	0	0	1	0	0
1	TRUE	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2.22044604925031e-16	FALSE	0	3	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	1	0	4	2	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	FALSE	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	4	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.22044604925031e-16	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1	TRUE	6	3	3	9	3	11	7	4	7	7	7	5	12	5	2	10	1	12	6	7	8	4	11	7	8	11	7	6	6	12	6	6	1	7	4	8	22	14	11	5	3	12	12	13	9	10	8	9	4	4	3	4	2	4	4	4	4	3	4	4	4	6	0	4	4	3	4	4	3	6	0	2	4	4	4	0	2	1	2	2	4	4	0	4	2	4	3	4	1	4	2	3	4	4	4	4	6	5	5	7	3	5	6	6	7	7	5	5	7	6	2	6	5	5	5	9	5	7	4	2	10	7	8	0	3	0	3	6	1	7	2	6	4	9	6	6	3	7	4	6	4	6	3	8
1	TRUE	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2.22044604925031e-16	FALSE	0	0	4	4	1	7	0	1	0	1	0	1	0	4	8	0	3	4	1	0	1	4	14	0	3	3	1	4	3	4	1	0	0	0	0	1	4	0	2	2	0	2	0	4	1	15	2	3	0	3	3	6	2	3	2	0	0	3	1	2	6	13	10	20	1	5	1	1	7	10	7	0	1	4	15	3	1	15	2	6	7	0	2	7	3	0	3	5	6	9	1	2	5	6	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0
2.22044604925031e-16	FALSE	0	1	1	0	1	0	0	0	0	0	0	0	0	2	0	0	3	2	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	3	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	2	2	0
2.22044604925031e-16	FALSE	3	2	6	0	5	4	3	0	1	10	9	5	8	18	1	3	16	12	0	0	3	19	15	4	8	4	4	2	4	1	2	1	2	1	0	4	3	7	3	11	0	5	5	10	9	8	10	1	0	0	0	0	3	2	0	1	2	0	3	1	0	2	0	0	1	4	0	0	0	0	17	0	2	1	0	0	4	0	0	1	0	0	0	0	4	1	7	2	2	1	3	0	4	3	3	0	0	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	3	2	1	0	0	0	2	2	1	0
2.22044604925031e-16	FALSE	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	2	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2.22044604925031e-16	FALSE	1	0	3	1	0	0	0	2	1	1	1	1	3	5	0	0	4	3	0	0	3	5	0	0	0	1	0	0	3	0	0	0	4	0	0	2	0	0	2	0	0	2	3	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1	TRUE	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	1	2	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
2.22044604925031e-16	FALSE	3	1	1	0	0	1	2	0	1	0	1	1	4	0	1	0	0	1	2	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1	TRUE	0	1	1	5	0	0	0	1	0	1	0	2	0	5	0	3	3	0	0	0	1	8	1	0	0	2	1	0	2	0	0	1	4	0	1	3	0	1	1	3	0	0	0	0	2	2	2	0	0	0	3	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
2.22044604925031e-16	FALSE	1	3	0	0	2	4	0	6	0	0	2	2	0	2	4	5	0	0	7	1	1	0	1	0	0	2	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	1	1	0	0	4	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1	TRUE	0	0	0	0	0	0	1	0	4	4	4	0	1	0	0	0	0	0	0	3	0	0	2	0	1	4	0	0	6	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	1	0	0	1	0	2	4	4	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0
1	TRUE	0	2	0	1	0	1	0	1	0	5	0	0	0	0	0	0	0	2	2	0	15	2	4	0	1	1	1	0	2	0	1	1	0	0	0	0	2	1	1	0	0	0	0	4	0	3	0	2	0	0	0	0	1	0	0	1	0	3	1	0	0	2	2	0	0	1	1	1	3	5	16	0	0	0	1	2	2	2	0	0	0	0	0	0	1	3	2	0	0	0	1	3	1	11	1	0	0	0	0	3	0	1	0	1	2	4	3	1	0	3	1	0	1	0	3	2	2	1	0	0	5	1	0	0	2	1	0	1	0	0	0	0	1	2	3	3	1	0	3	0	0	2	0	0
2.22044604925031e-16	FALSE	0	0	0	1	0	0	0	0	0	1	0	1	0	0	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0	0	0	1	1	0	3	0	0	0	1	2	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.22044604925031e-16	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1	TRUE	0	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	3	0	1	0	0	0	0	2	2	0	2	0	0	0	0	0	1	0	0	1	3	1	0	0	0	2	0	0	0	1	0	0	0	0	2	1	2	0	1	2	1	1	0	0	0	0	3	1	1	0	0	1	0	1	0	2	0	1	0	0	1	1	1	1	0	1	2	0	1	1	0	0	0	2	0	0
1	TRUE	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0
2.22044604925031e-16	FALSE	0	0	1	0	1	3	0	1	1	2	2	0	3	2	8	7	2	1	1	5	0	0	0	0	6	0	0	0	0	6	0	0	1	0	1	2	1	2	1	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	TRUE	0	1	1	0	0	0	0	0	2	2	4	0	0	0	1	0	0	0	2	0	0	0	3	0	4	0	0	0	1	2	0	0	0	0	0	0	0	3	0	1	0	2	1	1	2	2	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	3	0	4	0	0	3	0	0	1	1	0	0	2	1	2	0	1	0	1	0	0	0	0	0	2	1	0	0	1	0	1	2	3	0	1	0	0	1	1	0	1	2	0	2	3	4	0	0	0	0	0	0	0	3	0	0	0	0	0	3	2	0	0	0	2	0	0	0	0	0	0	0	3	2	1	0	1	2	1	2	2	0	0
2.22044604925031e-16	FALSE	7	4	12	2	6	8	10	35	5	4	11	8	3	9	9	13	7	6	26	34	13	4	11	1	19	6	3	2	0	8	2	12	1	2	1	9	8	4	3	2	5	2	2	6	11	8	9	3	2	3	10	5	3	6	9	16	7	7	11	5	6	4	5	11	1	3	16	17	5	1	3	1	5	4	6	1	3	7	4	7	0	3	2	4	4	13	5	1	4	4	3	7	4	6	5	2	0	0	2	1	1	1	1	2	0	0	2	0	0	0	2	2	2	1	2	2	2	0	0	0	2	2	0	0	0	1	1	2	0	1	0	2	1	2	0	0	1	0	1	1	1	2	2	0
